member_id,cutoff_date,churned_90d,r_days_since_last_txn,r_days_since_first_txn,r_days_since_last_redemption,f_txn_lifetime,f_txn_90d,f_txn_180d,f_txn_365d,f_active_months_12m,f_avg_days_between_txn,m_spend_lifetime,m_spend_90d,m_spend_365d,m_avg_basket,m_max_basket,t_txn_trend_90_vs_prior,t_spend_trend_90_vs_prior,rd_points_earned,rd_points_redeemed,rd_points_balance,rd_redemption_rate,rd_has_ever_redeemed,c_distinct_channels,c_distinct_brands,c_pct_app,c_pct_online,c_pct_in_store,tier,tier_rank,country,home_brand,p_age,p_tenure_days,dq_join_date_unusable,dq_profile_conflicted,dq_sign_error_txns,dq_points_imputed_txns,dq_amount_recovered_txns
M04325,2026-04-01,0,113,300,,3,0,1,3,2,150.0,238.4,,238.4,79.47,110.08,0.5,0.019,418.0,0.0,418.0,0.0,0,2,1,0.0,0.333,0.667,Silver,2,IN,PulseEats,22,510,0,0,0,0,0
M04350,2026-04-01,0,210,435,,6,0,0,2,2,87.0,303.81,,121.25,50.64,75.8,1.0,1.0,622.0,0.0,622.0,0.0,0,3,3,0.667,0.167,0.167,Silver,2,US,PulseMart,48,547,0,0,0,0,0
M04537,2026-04-01,0,333,1141,333,10,0,0,1,1,126.8,671.44,,26.79,67.14,138.93,1.0,1.0,1259.0,280.0,979.0,0.2224,1,3,3,0.3,0.5,0.2,Silver,2,AE,PulseEats,29,1229,0,0,0,0,0
M04556,2026-04-01,0,126,776,126,9,0,2,3,2,97.0,654.04,,257.35,72.67,166.75,0.333,0.004,1308.0,150.0,1158.0,0.1147,1,3,1,0.444,0.222,0.333,Bronze,1,IN,PulseHome,40,820,0,0,0,0,0
M04640,2026-04-01,0,158,760,180,6,0,1,3,2,152.0,600.62,,273.55,100.1,142.28,0.5,0.019,1365.0,185.0,1180.0,0.1355,1,3,2,0.167,0.667,0.167,Bronze,1,GB,PulseMart,31,1070,0,0,0,0,0
M04642,2026-04-01,0,2,134,134,5,3,5,5,4,33.5,650.19,358.58,650.19,130.04,193.47,1.333,1.229,1139.0,100.0,1039.0,0.0878,1,2,1,0.4,0.6,0.0,Bronze,1,IN,PulseEats,38,137,0,0,0,0,0
M04731,2026-04-01,0,166,287,,4,0,2,4,2,95.7,265.31,,265.31,66.33,140.89,0.333,0.028,466.0,0.0,466.0,0.0,0,2,1,0.75,0.0,0.25,Bronze,1,SG,PulseEats,60,316,0,0,0,0,0
M04732,2026-04-01,0,336,936,617,4,0,0,1,1,312.0,452.69,,170.33,113.17,170.33,1.0,1.0,901.0,59.0,842.0,0.0655,1,3,3,0.25,0.5,0.25,Bronze,1,IN,PulseMart,47,1237,0,0,0,0,0
M04747,2026-04-01,0,39,243,,4,2,3,4,3,81.0,230.19,111.04,230.19,57.55,66.97,1.5,1.648,530.0,0.0,530.0,0.0,0,2,1,0.0,0.75,0.25,Silver,2,SG,PulseMart,29,311,0,0,0,0,0
M04758,2026-04-01,0,44,80,44,2,2,2,2,2,80.0,141.36,141.36,141.36,70.68,71.88,3.0,142.36,248.0,122.0,126.0,0.4919,1,1,1,0.0,0.0,1.0,Silver,2,SG,PulseEats,27,98,0,0,0,0,0
M04771,2026-04-01,0,62,223,,3,2,2,3,2,111.5,110.72,71.6,110.72,36.91,57.41,3.0,72.6,201.0,0.0,201.0,0.0,0,1,2,0.0,0.0,1.0,Silver,2,IN,PulseEats,32,276,0,0,0,0,0
M04800,2026-04-01,0,34,34,,1,1,1,1,1,,71.64,71.64,71.64,71.64,71.64,2.0,72.64,165.0,0.0,165.0,0.0,0,1,1,0.0,1.0,0.0,Bronze,1,US,PulseMart,51,35,0,0,0,0,0
M04854,2026-04-01,0,90,1250,989,4,0,1,1,1,416.7,192.84,,48.28,48.21,64.4,0.5,0.02,443.0,56.0,387.0,0.1264,1,3,1,0.5,0.25,0.25,Bronze,1,IN,PulseMart,21,1398,0,0,0,0,0
M04891,2026-04-01,0,13,58,,4,4,4,4,2,19.3,193.89,193.89,193.89,48.47,62.55,5.0,194.89,446.0,0.0,446.0,0.0,0,3,1,0.25,0.25,0.5,Gold,3,US,PulseMart,41,89,0,0,0,0,0
M04926,2026-04-01,0,39,186,186,4,2,3,4,4,62.0,366.73,134.4,366.73,91.68,177.36,1.5,0.759,720.0,100.0,620.0,0.1389,1,2,3,0.5,0.5,0.0,Silver,2,SG,PulseHome,51,286,0,0,0,0,0
M04936,2026-04-01,0,293,632,,2,0,0,1,1,632.0,105.2,,51.24,52.6,53.96,1.0,1.0,210.0,0.0,210.0,0.0,0,2,1,0.5,0.5,0.0,Bronze,1,GB,PulseHome,55,634,0,0,0,0,0
M04953,2026-04-01,0,261,261,,1,0,0,1,1,,107.5,,107.5,107.5,107.5,1.0,1.0,247.0,0.0,247.0,0.0,0,1,1,0.0,1.0,0.0,Bronze,1,US,PulseMart,44,495,0,0,0,0,0
M04993,2026-04-01,0,47,249,,5,1,2,5,5,62.3,314.39,26.55,314.39,62.88,141.12,1.0,0.194,680.0,0.0,680.0,0.0,0,2,2,0.2,0.8,0.0,Platinum,4,GB,PulseMart,37,374,0,0,0,0,0
M05025,2026-04-01,0,87,1375,,6,1,1,2,2,275.0,440.29,31.42,200.63,73.38,169.21,2.0,32.42,992.0,0.0,992.0,0.0,0,3,2,0.333,0.333,0.333,Bronze,1,US,PulseMart,27,1615,0,0,0,0,0
M05088,2026-04-01,0,64,348,,4,1,1,4,4,116.0,214.81,64.43,214.81,53.7,69.67,2.0,65.43,376.0,0.0,376.0,0.0,0,3,1,0.25,0.25,0.5,Gold,3,IN,PulseEats,30,381,0,0,0,0,0
M05108,2026-04-01,0,336,593,483,5,0,0,2,1,148.3,603.2,,160.77,120.64,250.05,1.0,1.0,1206.0,100.0,1106.0,0.0829,1,3,1,0.2,0.6,0.2,Gold,3,SG,PulseHome,54,726,0,0,0,0,0
M05254,2026-04-01,0,82,331,,3,1,2,3,3,165.5,181.62,81.39,181.62,60.54,81.39,1.0,1.475,364.0,0.0,364.0,0.0,0,2,1,0.0,0.667,0.333,Bronze,1,IN,PulseHome,27,428,0,0,0,0,0
M05298,2026-04-01,0,3,114,114,4,2,4,4,3,38.0,281.54,139.43,281.54,70.39,90.33,1.0,0.981,585.0,181.0,404.0,0.3094,1,3,2,0.5,0.25,0.25,Platinum,4,SG,PulseHome,50,173,0,0,0,0,0
M05363,2026-04-01,0,179,566,,2,0,1,1,1,566.0,92.19,,38.67,46.1,53.52,0.5,0.025,212.0,0.0,212.0,0.0,0,1,1,0.0,1.0,0.0,Bronze,1,US,PulseMart,29,1167,0,0,0,0,0
M05428,2026-04-01,0,351,697,597,6,0,0,1,1,139.4,364.62,,30.02,60.77,123.51,1.0,1.0,693.0,50.0,643.0,0.0722,1,2,2,0.0,0.667,0.333,Bronze,1,US,PulseHome,21,733,0,0,0,0,0
M05435,2026-04-01,0,3,81,30,6,6,6,6,2,16.2,402.78,402.78,402.78,67.13,200.48,7.0,403.78,718.0,64.0,654.0,0.0891,1,3,2,0.5,0.167,0.333,Platinum,4,US,PulseEats,57,207,0,0,0,0,0
M05569,2026-04-01,0,1,140,,6,4,6,6,5,28.0,390.51,248.37,390.51,65.08,90.69,1.667,1.742,898.0,0.0,898.0,0.0,0,3,1,0.5,0.333,0.167,Platinum,4,IN,PulseMart,39,146,0,0,0,0,0
M05611,2026-04-01,0,49,187,,3,1,2,3,3,93.5,279.08,24.6,279.08,93.03,151.71,1.0,0.168,558.0,0.0,558.0,0.0,0,2,1,0.333,0.0,0.667,Bronze,1,IN,PulseHome,48,1197,0,0,0,0,0
M05724,2026-04-01,0,0,276,,3,1,1,3,3,138.0,219.3,49.85,219.3,73.1,105.08,2.0,50.85,505.0,0.0,505.0,0.0,0,2,1,0.333,0.0,0.667,Bronze,1,AE,PulseMart,36,286,0,0,0,0,0
M05891,2026-04-01,0,150,150,,1,0,1,1,1,,95.85,,95.85,95.85,95.85,0.5,0.01,192.0,0.0,192.0,0.0,0,1,1,0.0,0.0,1.0,Silver,2,GB,PulseHome,42,571,0,0,0,0,0
M05897,2026-04-01,0,26,1027,330,3,1,1,2,2,513.5,167.47,61.44,94.99,55.82,72.48,2.0,62.44,335.0,67.0,268.0,0.2,1,2,1,0.667,0.333,0.0,Bronze,1,SG,PulseHome,51,1188,0,0,0,0,0
M05926,2026-04-01,0,19,32,,3,3,3,3,2,16.0,212.9,212.9,212.9,70.97,157.65,4.0,213.9,387.0,0.0,387.0,0.0,0,2,2,0.667,0.333,0.0,Gold,3,AE,PulseHome,43,34,0,0,1,0,0
M05976,2026-04-01,0,238,409,381,4,0,0,2,2,136.3,280.87,,162.6,70.22,128.73,1.0,1.0,562.0,50.0,512.0,0.089,1,3,1,0.25,0.25,0.5,Platinum,4,IN,PulseHome,24,,1,0,0,0,0
M05979,2026-04-01,0,22,115,42,6,5,6,6,4,23.0,484.25,385.26,484.25,80.71,113.17,3.0,3.863,1114.0,150.0,964.0,0.1346,1,2,1,0.5,0.0,0.5,Platinum,4,US,PulseMart,53,124,0,0,0,0,0
M06106,2026-04-01,0,31,253,,3,1,1,3,3,126.5,205.86,94.93,205.86,68.62,94.93,2.0,95.93,473.0,0.0,473.0,0.0,0,2,1,0.667,0.0,0.333,Silver,2,IN,PulseMart,57,341,0,0,0,0,0
M06130,2026-04-01,0,6,111,,2,1,2,2,2,111.0,124.2,98.39,124.2,62.1,98.39,1.0,3.707,217.0,0.0,217.0,0.0,0,2,1,0.5,0.5,0.0,Silver,2,IN,PulseEats,20,145,0,0,0,0,0
M06212,2026-04-01,0,149,552,,3,0,1,2,2,276.0,267.18,,176.87,89.06,119.57,0.5,0.017,615.0,0.0,615.0,0.0,0,2,1,0.333,0.667,0.0,Silver,2,US,PulseMart,25,706,0,0,0,0,0
M06216,2026-04-01,0,6,97,,2,1,2,2,2,97.0,227.96,130.92,227.96,113.98,130.92,1.0,1.346,432.0,0.0,432.0,0.0,0,1,2,0.0,0.0,1.0,Bronze,1,US,PulseHome,42,469,0,0,0,0,0
M06333,2026-04-01,0,14,48,,5,5,5,5,2,12.0,218.78,218.78,218.78,43.76,47.02,6.0,219.78,438.0,0.0,438.0,0.0,0,3,1,0.2,0.4,0.4,Bronze,1,GB,PulseHome,38,63,0,0,0,0,0
M06334,2026-04-01,0,120,299,,4,0,1,4,3,99.7,214.93,,214.93,53.73,67.67,0.5,0.026,375.0,0.0,375.0,0.0,0,2,1,0.5,0.0,0.5,Silver,2,SG,PulseEats,30,342,0,0,0,0,0
M06350,2026-04-01,0,25,631,,4,1,1,2,2,210.3,277.58,24.15,55.9,69.4,120.22,2.0,25.15,639.0,0.0,639.0,0.0,0,2,1,0.0,0.5,0.5,Bronze,1,US,PulseMart,44,812,0,0,0,0,0
M06391,2026-04-01,0,82,1357,,5,1,1,2,2,339.3,342.7,63.87,92.1,68.54,144.99,2.0,64.87,686.0,0.0,686.0,0.0,0,3,1,0.4,0.2,0.4,Platinum,4,IN,PulseHome,29,1436,0,0,0,0,0
M06529,2026-04-01,0,53,104,,3,2,3,3,3,52.0,115.95,78.84,115.95,38.65,41.51,1.5,2.095,255.0,0.0,255.0,0.0,0,2,2,0.333,0.667,0.0,Platinum,4,GB,PulseMart,56,151,0,0,0,0,0
M06569,2026-04-01,0,99,174,,2,0,2,2,2,174.0,158.39,,158.39,79.19,131.98,0.333,0.006,277.0,0.0,277.0,0.0,0,2,1,0.5,0.5,0.0,Gold,3,IN,PulseEats,36,231,0,0,0,0,0
M06654,2026-04-01,0,218,1247,,4,0,0,1,1,415.7,293.43,,106.69,73.36,106.69,1.0,1.0,674.0,0.0,674.0,0.0,0,3,1,0.25,0.5,0.25,Gold,3,IN,PulseMart,22,1365,0,0,0,0,0
M06839,2026-04-01,0,140,264,176,4,0,2,4,4,88.0,255.32,,255.32,63.83,84.36,0.333,0.009,503.0,82.0,421.0,0.163,1,3,3,0.5,0.25,0.25,Bronze,1,IN,PulseEats,37,483,0,0,0,0,0
M06861,2026-04-01,0,124,452,241,4,0,1,3,3,150.7,345.67,,300.57,86.42,214.22,0.5,0.022,691.0,86.0,605.0,0.1245,1,3,1,0.5,0.25,0.25,Silver,2,US,PulseHome,24,508,0,0,0,0,0
M06972,2026-04-01,0,68,657,297,5,1,1,2,2,164.3,285.48,47.94,90.22,57.1,83.59,2.0,48.94,499.0,74.0,425.0,0.1483,1,3,1,0.2,0.6,0.2,Platinum,4,IN,PulseEats,53,665,0,0,0,0,0
M07111,2026-04-01,0,268,519,,2,0,0,1,1,519.0,75.74,,40.4,37.87,40.4,1.0,1.0,152.0,0.0,152.0,0.0,0,1,1,1.0,0.0,0.0,Silver,2,GB,PulseHome,58,543,0,0,0,0,0
M07240,2026-04-01,0,184,927,,4,0,0,1,1,309.0,211.12,,33.22,52.78,95.21,1.0,1.0,486.0,0.0,486.0,0.0,0,2,1,0.75,0.25,0.0,Silver,2,IN,PulseMart,27,1832,0,0,0,0,0
M07251,2026-04-01,0,0,149,,3,2,3,3,3,74.5,221.06,126.0,221.06,73.69,95.06,1.5,1.322,386.0,0.0,386.0,0.0,0,1,1,1.0,0.0,0.0,Bronze,1,IN,PulseEats,38,162,0,0,0,0,0
M07293,2026-04-01,0,52,555,171,5,1,2,4,4,138.8,322.48,137.08,282.81,64.5,137.08,1.0,2.328,666.0,246.0,420.0,0.3694,1,3,2,0.2,0.2,0.6,Bronze,1,IN,PulseMart,38,637,0,0,0,0,0
M07299,2026-04-01,0,8,280,8,6,4,4,6,4,56.0,244.8,168.08,244.8,40.8,51.83,5.0,169.08,449.0,204.0,245.0,0.4543,1,3,2,0.333,0.167,0.5,Bronze,1,GB,PulseEats,37,397,0,0,0,0,0
M07340,2026-04-01,0,75,317,,2,1,1,2,2,317.0,188.42,113.45,188.42,94.21,113.45,2.0,114.45,411.0,0.0,411.0,0.0,0,2,2,0.0,0.5,0.5,Bronze,1,SG,PulseMart,49,416,0,0,0,0,0
M07376,2026-04-01,0,47,386,117,5,1,2,4,4,96.5,405.01,90.13,324.43,81.0,164.13,1.0,1.787,915.0,50.0,865.0,0.0546,1,2,2,0.6,0.4,0.0,Bronze,1,AE,PulseMart,31,453,0,0,0,0,0
M07423,2026-04-01,0,35,244,223,6,2,3,6,5,48.8,421.21,223.94,421.21,70.2,123.15,1.5,6.683,969.0,184.0,785.0,0.1899,1,3,1,0.333,0.333,0.333,Bronze,1,IN,PulseMart,59,277,0,0,1,0,0
M07441,2026-04-01,0,21,135,,2,1,2,2,2,135.0,110.92,68.71,110.92,55.46,68.71,1.0,1.613,221.0,0.0,221.0,0.0,0,2,1,0.0,0.5,0.5,Silver,2,SG,PulseHome,34,301,0,0,0,0,0
M07520,2026-04-01,0,322,1316,322,3,0,0,2,1,658.0,253.07,,211.41,84.36,127.95,1.0,1.0,582.0,346.0,236.0,0.5945,1,2,1,0.667,0.0,0.333,Silver,2,IN,PulseMart,56,1655,0,0,0,0,0
M07534,2026-04-01,0,57,333,333,3,2,2,3,3,166.5,139.51,82.05,139.51,46.5,70.17,3.0,83.05,289.0,101.0,188.0,0.3495,1,1,2,0.0,1.0,0.0,Platinum,4,US,PulseMart,58,497,0,0,0,0,0
M07576,2026-04-01,0,278,278,,1,0,0,1,1,,100.32,,100.32,100.32,100.32,1.0,1.0,176.0,0.0,176.0,0.0,0,1,1,0.0,1.0,0.0,Bronze,1,US,PulseEats,23,410,0,0,0,0,0
M07593,2026-04-01,0,11,532,11,4,2,2,3,2,177.3,240.0,132.34,179.47,60.0,99.12,3.0,133.34,474.0,282.0,192.0,0.5949,1,3,2,0.5,0.25,0.25,Bronze,1,IN,PulseEats,44,808,0,0,0,0,0
M07608,2026-04-01,0,171,289,,2,0,1,2,2,289.0,54.92,,54.92,27.46,28.46,0.5,0.036,126.0,0.0,126.0,0.0,0,2,1,0.0,0.5,0.5,Platinum,4,GB,PulseMart,57,404,0,0,0,0,0
M07612,2026-04-01,0,50,156,50,3,1,3,3,3,78.0,157.13,69.5,157.13,52.38,69.5,0.667,0.795,362.0,169.0,193.0,0.4669,1,2,1,0.667,0.333,0.0,Silver,2,IN,PulseMart,24,,1,0,0,0,0
M07613,2026-04-01,0,8,217,,5,3,4,5,4,54.3,376.01,275.84,376.01,75.2,120.64,2.0,7.01,785.0,0.0,785.0,0.0,0,3,3,0.4,0.2,0.4,Silver,2,US,PulseHome,43,,1,0,0,0,0
M07616,2026-04-01,0,170,1025,625,7,0,1,2,2,170.8,299.21,,40.58,42.74,76.05,0.5,0.035,559.0,200.0,359.0,0.3578,1,3,3,0.286,0.143,0.571,Bronze,1,SG,PulseEats,57,1031,0,0,0,0,0
M07640,2026-04-01,0,23,64,64,2,2,2,2,2,64.0,302.29,302.29,302.29,151.15,252.74,3.0,303.29,529.0,87.0,442.0,0.1645,1,2,1,0.5,0.0,0.5,Bronze,1,IN,PulseEats,21,98,0,0,0,0,0
M07649,2026-04-01,0,261,261,,1,0,0,1,1,,116.92,,116.92,116.92,116.92,1.0,1.0,269.0,0.0,269.0,0.0,0,1,1,1.0,0.0,0.0,Silver,2,AE,PulseMart,21,380,0,0,0,0,0
M07671,2026-04-01,0,134,392,,3,0,1,2,2,196.0,482.32,,246.56,160.77,235.76,0.5,0.024,965.0,0.0,965.0,0.0,0,2,1,0.0,0.667,0.333,Gold,3,IN,PulseHome,44,538,0,0,0,0,0
M07713,2026-04-01,0,52,115,,2,1,2,2,2,115.0,98.16,26.1,98.16,49.08,72.06,1.0,0.371,204.0,0.0,204.0,0.0,0,1,2,1.0,0.0,0.0,Platinum,4,IN,PulseMart,21,128,0,0,0,0,0
M07727,2026-04-01,0,296,914,,5,0,0,2,2,228.5,471.77,,171.93,94.35,189.47,1.0,1.0,1085.0,0.0,1085.0,0.0,0,2,1,0.0,0.4,0.6,Bronze,1,US,PulseMart,49,935,0,0,0,1,0
M07760,2026-04-01,0,43,931,,5,1,2,4,3,232.8,297.68,62.7,218.3,59.54,79.38,1.0,1.204,665.0,0.0,665.0,0.0,0,2,2,0.0,0.4,0.6,Platinum,4,US,PulseMart,44,1080,0,0,0,0,0
M07782,2026-04-01,0,81,284,,4,1,1,4,4,94.7,151.21,47.59,151.21,37.8,57.15,2.0,48.59,295.0,0.0,295.0,0.0,0,2,2,0.25,0.75,0.0,Bronze,1,US,PulseHome,47,298,0,0,0,0,0
M07783,2026-04-01,0,3,3,,1,1,1,1,1,,11.51,11.51,11.51,11.51,11.51,2.0,12.51,26.0,0.0,26.0,0.0,0,1,1,1.0,0.0,0.0,Platinum,4,IN,PulseMart,21,16,0,0,0,0,0
M07892,2026-04-01,0,28,669,,4,1,2,3,3,223.0,247.25,31.41,195.47,61.81,108.63,1.0,0.296,433.0,0.0,433.0,0.0,0,3,1,0.25,0.5,0.25,Bronze,1,IN,PulseEats,45,738,0,0,0,0,0
M07985,2026-04-01,0,2,369,,4,2,2,3,3,123.0,180.08,62.97,136.13,45.02,73.16,3.0,63.97,360.0,0.0,360.0,0.0,0,3,1,0.25,0.5,0.25,Bronze,1,US,PulseHome,39,414,0,0,0,0,0
M08118,2026-04-01,0,161,203,,4,0,2,4,2,67.7,352.52,,352.52,88.13,170.26,0.333,0.009,706.0,0.0,706.0,0.0,0,2,1,0.75,0.0,0.25,Bronze,1,SG,PulseHome,33,213,0,0,0,0,0
