transaction_id,member_id,transaction_date,amount,points_earned,points_redeemed,channel,brand,transaction_type
T000077,M00015,2026-03-13 09:28:54,56.88,131.0,50,online,PulseMart,purchase
T000078,M00015,2026-03-27 22:17:23,81.87,188.0,0,in_store,PulseMart,purchase
T000079,M00016,2026-05-22 02:03:31,85.92,172.0,0,app,PulseHome,purchase
T000080,M00016,2025-11-01 20:33:20,86.69,173.0,0,in_store,PulseHome,purchase
T000081,M00016,2026-06-02 00:09:08,71.3,125.0,0,in_store,PulseEats,purchase
T000082,M00016,2026-06-11 02:30:55,38.08,76.0,76,app,PulseHome,purchase
T000083,M00016,2026-04-18 06:09:48,57.86,116.0,0,in_store,PulseHome,purchase
T000084,M00016,2025-11-03 08:54:49,131.6,263.0,0,in_store,PulseHome,purchase
T000085,M00016,2026-06-28 19:46:57,20.92,42.0,0,online,PulseHome,purchase
T000086,M00016,2025-11-23 06:51:06,68.0,136.0,0,online,PulseHome,purchase
T000087,M00017,2023-09-16 16:52:14,81.52,163.0,0,in_store,PulseHome,purchase
T000088,M00017,2024-01-31 04:49:53,61.14,141.0,0,online,PulseMart,purchase
T000089,M00017,2025-05-26 03:22:18,36.06,72.0,0,online,PulseHome,purchase
T000090,M00017,2023-08-01 10:37:49,46.14,92.0,0,online,PulseHome,purchase
T000091,M00017,2023-05-05 17:37:15,52.88,106.0,0,in_store,PulseHome,purchase
T000092,M00018,2022-12-04 02:27:38,27.57,55.0,0,in_store,PulseHome,purchase
T000093,M00018,2022-04-25 05:14:15,64.19,128.0,0,app,PulseHome,purchase
T000094,M00018,2025-07-29 18:45:32,89.16,178.0,0,online,PulseHome,purchase
T000095,M00018,2022-10-24 21:33:47,-36.79,74.0,0,online,PulseHome,purchase
T000096,M00018,2024-11-02 21:46:59,73.87,148.0,0,app,PulseHome,purchase
T000097,M00018,2025-11-12 06:45:38,280.35,561.0,0,online,PulseHome,purchase
T000098,M00018,2025-12-30 07:15:06,59.7,119.0,0,in_store,PulseHome,purchase
T000099,M00019,2026-06-04 11:10:09,77.76,136.0,0,in_store,PulseEats,purchase
T000100,M00019,2025-02-27 07:27:50,29.09,51.0,0,online,PulseEats,purchase
T000101,M00019,2024-09-28 14:36:06,39.87,70.0,70,in_store,PulseEats,purchase
T000102,M00020,2026-04-07 04:02:06,60.44,106.0,106,app,PulseEats,purchase
T000103,M00020,2026-04-21 17:08:52,50.72,89.0,0,app,PulseEats,purchase
T000104,M00020,2026-06-20 19:57:09,59.41,104.0,0,online,PulseEats,purchase
T000105,M00020,2026-06-25 05:19:37,177.73,311.0,200,in_store,PulseEats,purchase
T000106,M00020,2026-05-08 23:45:57,71.27,125.0,0,in_store,PulseEats,purchase
T000107,M00020,2026-02-02 06:58:59,295.79,518.0,0,app,PulseEats,purchase
T000108,M00021,2025-05-13 16:25:11,67.28,135.0,0,app,PulseHome,purchase
T000109,M00021,2026-01-03 03:13:58,-39.53,79.0,0,online,PulseHome,purchase
T000110,M00021,2026-05-16 12:43:24,70.22,140.0,0,online,PulseHome,purchase
T000111,M00022,2026-04-16 09:53:35,81.99,143.0,0,app,PulseEats,purchase
T000112,M00022,2024-05-28 07:05:40,16.47,29.0,0,online,PulseEats,purchase
T000113,M00022,2023-12-15 04:16:57,12.8,29.0,0,in_store,PulseMart,purchase
T000114,M00022,2025-12-23 16:16:51,40.38,71.0,50,app,PulseEats,purchase
T000115,M00023,2024-01-20 09:58:34,94.81,218.0,0,in_store,PulseMart,purchase
T000116,M00023,2023-04-01 08:35:51,37.46,86.0,0,app,PulseMart,purchase
T000117,M00023,2021-11-17 01:50:20,-78.28,180.0,100,app,PulseMart,purchase
T000118,M00024,2025-08-28 23:14:55,20.34,36.0,0,online,PulseEats,purchase
T000119,M00025,2025-11-20 23:28:27,62.55,125.0,0,in_store,PulseHome,purchase
T000120,M00025,2024-11-26 22:23:53,14.91,30.0,0,app,PulseHome,purchase
T000121,M00025,2024-07-31 19:34:55,78.31,157.0,0,app,PulseHome,purchase
T000122,M00025,2026-01-22 04:53:36,103.56,207.0,100,in_store,PulseHome,purchase
T000123,M00025,2026-01-09 15:55:44,41.43,83.0,0,app,PulseHome,purchase
T000124,M00025,2026-05-02 22:17:57,114.14,228.0,0,in_store,PulseHome,purchase
T000125,M00026,2024-03-29 20:54:56,68.24,119.0,0,app,PulseEats,purchase
T000126,M00026,2021-12-21 13:34:35,51.95,91.0,0,in_store,PulseEats,purchase
T000127,M00026,2024-10-23 10:24:04,15.07,26.0,0,in_store,PulseEats,purchase
T000128,M00026,2022-01-27 10:32:10,69.85,161.0,0,online,PulseMart,purchase
T000129,M00026,2025-04-26 21:16:42,19.15,34.0,0,in_store,PulseEats,purchase
T000130,M00026,2021-12-26 01:10:13,41.88,73.0,0,in_store,PulseEats,purchase
T000131,M00026,2021-06-11 19:46:18,70.65,141.0,0,app,PulseHome,purchase
T000132,M00027,2025-09-13 09:15:05,38.93,78.0,78,in_store,PulseHome,purchase
T000133,M00027,2025-10-18 21:25:42,34.15,68.0,0,app,PulseHome,purchase
T000134,M00027,2025-02-26 09:01:50,55.27,111.0,0,app,PulseHome,purchase
T000135,M00027,2026-03-12 15:23:53,42.69,85.0,0,in_store,PulseHome,purchase
T000136,M00027,2025-01-16 04:53:36,57.02,114.0,0,in_store,PulseHome,purchase
T000137,M00027,2025-03-17 01:48:44,83.72,167.0,0,online,PulseHome,purchase
T000138,M00027,2026-02-26,57.61,115.0,0,app,PulseHome,purchase
T000139,M00027,2025-11-06 19:37:19,108.13,216.0,0,online,PulseHome,purchase
T000140,M00028,2022-04-22 14:35:45,58.98,103.0,0,in_store,PulseEats,purchase
T000141,M00028,2023-06-21 10:27:28,62.34,109.0,0,online,PulseEats,purchase
T000142,M00028,2024-09-16 17:38:58,53.84,,0,app,PulseEats,purchase
T000143,M00029,2026-01-21 06:05:06,92.44,213.0,0,in_store,PulseMart,purchase
T000144,M00029,2026-06-06 17:15:17,49.01,86.0,0,online,PulseEats,purchase
T000145,M00030,2026-01-23 13:04:35,31.58,55.0,0,in_store,PulseEats,purchase
T000146,M00030,2025-08-21 14:54:00,46.25,106.0,0,in_store,PulseMart,purchase
T000147,M00030,2025-05-13 01:15:43,204.58,358.0,0,online,PulseEats,purchase
T000148,M00030,2025-06-30 11:56:13,42.58,98.0,0,in_store,PulseMart,purchase
T000149,M00030,2025-06-07 05:50:12,48.25,84.0,0,in_store,PulseEats,purchase
T000150,M00030,2025-02-03 16:44:34,23.15,41.0,0,online,PulseEats,purchase
T000151,M00030,2026-05-29 10:18:53,350.38,613.0,100,app,PulseEats,purchase
T000152,M00031,2023-08-22 22:48:35,36.72,84.0,0,in_store,PulseMart,purchase
T000153,M00031,2022-07-19 14:25:40,22.13,39.0,0,app,PulseEats,purchase
T000154,M00031,2022-02-16 06:22:27,55.98,112.0,0,online,PulseHome,purchase
T000155,M00031,2021-11-24 10:28:18,28.07,56.0,0,online,PulseHome,purchase
T000156,M00032,2025-02-19 23:06:06,36.13,72.0,0,app,PulseHome,purchase
T000157,M00032,2024-03-11 03:19:42,-36.38,73.0,73,online,PulseHome,purchase
T000158,M00032,2024-04-23 05:23:52,62.89,126.0,0,app,PulseHome,purchase
T000159,M00032,2024-01-19 18:21:04,101.63,234.0,150,app,PulseMart,purchase
T000160,M00032,2025-11-28 09:21:11,76.56,153.0,0,online,PulseHome,purchase
T000161,M00032,2025-09-28 10:53:50,59.39,119.0,119,in_store,PulseHome,purchase
T000162,M00033,2025-09-11 01:07:34,26.58,53.0,0,in_store,PulseHome,purchase
T000163,M00033,2026-05-10 03:23:38,31.82,64.0,0,online,PulseHome,purchase
T000164,M00033,2025-12-07 22:49:07,19.1,38.0,0,app,PulseHome,purchase
T000165,M00033,2026-03-18 18:44:00,101.28,203.0,0,app,PulseHome,purchase
T000166,M00034,2026-04-23 08:06:51,59.39,119.0,0,online,PulseHome,purchase
T000167,M00034,2026-04-01 10:26:08,55.07,110.0,0,online,PulseHome,purchase
T000168,M00034,2026-03-26 21:58:37,42.22,97.0,97,online,PulseMart,purchase
T000169,M00034,2026-06-11 06:50:05,45.36,91.0,0,online,PulseHome,purchase
T000170,M00034,2026-04-06 14:21:48,38.29,77.0,0,online,PulseHome,purchase
T000171,M00034,2026-01-30,-97.2,194.0,0,app,PulseHome,purchase
T000172,M00035,2022-07-12 05:07:27,59.93,138.0,0,online,PulseMart,purchase
T000173,M00035,2023-04-01 05:05:30,169.35,390.0,0,in_store,PulseMart,purchase
T000174,M00035,2022-10-13 08:14:02,53.83,124.0,0,online,PulseMart,purchase
T000175,M00036,2024-11-11 00:09:18,49.08,98.0,0,app,PulseHome,purchase
T000176,M00036,2024-12-24 22:47:15,31.31,63.0,0,app,PulseHome,purchase
T000177,M00036,2025-02-13 11:46:27,93.26,187.0,150,in_store,PulseHome,purchase
T000178,M00036,2025-11-06 07:31:40,98.31,197.0,0,app,PulseHome,purchase
T000179,M00036,2026-02-24 18:08:44,48.84,98.0,98,in_store,PulseHome,purchase
T000180,M00036,2024-11-17 02:45:07,48.92,86.0,0,online,PulseEats,purchase
T000181,M00037,2026-06-30 09:32:37,94.32,189.0,0,online,PulseHome,purchase
T000182,M00037,2026-04-23 12:40:09,80.7,161.0,50,online,PulseHome,purchase
T000183,M00037,2026-05-22 07:09:04,15.51,31.0,0,in_store,PulseHome,purchase
T000184,M00037,2026-06-15 00:55:12,45.47,105.0,0,app,PulseMart,purchase
T000185,M00037,2026-05-07 14:54:25,26.14,52.0,0,app,PulseHome,purchase
T000186,M00037,2026-03-27 06:30:12,99.38,229.0,150,in_store,PulseMart,purchase
T000187,M00038,2026-03-13 01:03:00,79.78,183.0,0,online,PulseMart,purchase
T000188,M00038,2026-04-03 09:36:17,64.99,149.0,0,in_store,PulseMart,purchase
T000189,M00038,2026-03-19 02:17:35,37.91,87.0,0,app,PulseMart,purchase
T000190,M00038,2026-03-24 06:47:43,33.23,76.0,0,in_store,PulseMart,purchase
T000191,M00039,2024-07-06 13:45:18,58.28,102.0,102,online,PulseEats,purchase
T000192,M00039,2026-03-17 07:41:31,47.04,82.0,0,in_store,PulseEats,purchase
T000193,M00039,2025-10-27 18:11:01,62.72,110.0,0,in_store,PulseEats,purchase
T000194,M00040,2024-12-04 19:34:53,48.69,85.0,0,in_store,PulseEats,purchase
T000195,M00040,2026-03-28 04:21:08,8.39,15.0,0,online,PulseEats,purchase
T000196,M00040,2026-04-06 21:45:39,60.3,106.0,0,online,PulseEats,purchase
T000197,M00041,2025-01-02 03:26:08,39.27,79.0,0,in_store,PulseHome,purchase
T000198,M00041,2022-04-25 09:00:25,136.74,239.0,0,online,PulseEats,purchase
T000199,M00041,2025-03-25 20:09:37,160.28,280.0,0,app,PulseEats,purchase
T000200,M00041,2023-05-29 11:34:19,69.43,122.0,0,in_store,PulseEats,purchase
T000201,M00041,2024-10-09 05:02:01,78.91,138.0,0,online,PulseEats,purchase
T000202,M00042,2025-08-30 07:07:54,75.59,132.0,0,app,PulseEats,purchase
T000203,M00042,2026-05-22 02:37:25,61.07,107.0,0,online,PulseEats,purchase
T000204,M00042,2025-10-25 21:14:55,61.21,107.0,0,in_store,PulseEats,purchase
T000205,M00042,2025-06-28 18:49:30,32.62,57.0,0,app,PulseEats,purchase
T000206,M00042,2026-03-03 06:36:25,48.8,85.0,0,in_store,PulseEats,purchase
T000207,M00043,2026-02-05 05:33:55,111.97,196.0,150,app,PulseEats,purchase
T000208,M00043,2025-08-18 00:21:23,86.16,198.0,0,online,PulseMart,purchase
T000209,M00043,2025-01-11 22:41:40,36.0,83.0,0,online,PulseMart,purchase
T000210,M00043,2026-02-19 06:36:19,54.07,124.0,0,in_store,PulseMart,purchase
T000211,M00043,2025-09-17 22:39:44,34.5,79.0,0,online,PulseMart,purchase
T000212,M00044,2026-06-21 07:10:58,22.84,40.0,0,online,PulseEats,purchase
T000213,M00044,2025-06-12 21:45:42,98.29,226.0,0,app,PulseMart,purchase
T000214,M00044,2026-01-10 12:46:00,44.15,77.0,77,in_store,PulseEats,purchase
T000215,M00044,2024-03-06 22:18:47,112.71,197.0,0,online,PulseEats,purchase
T000216,M00044,2023-12-24 01:06:06,22.51,39.0,0,online,PulseEats,purchase
T000217,M00044,2023-02-15 17:59:24,55.44,97.0,0,in_store,PulseEats,purchase
T000218,M00045,2026-03-25 14:54:37,115.97,267.0,150,in_store,PulseMart,purchase
T000219,M00045,2025-01-09 06:49:08,17.9,41.0,41,app,PulseMart,purchase
T000220,M00045,2025-01-08 01:29:20,75.43,132.0,0,online,PulseEats,purchase
T000221,M00045,2024-09-11 21:49:07,34.04,78.0,0,in_store,PulseMart,purchase
T000222,M00045,2024-12-12 23:21:17,90.89,209.0,0,app,PulseMart,purchase
T000223,M00045,2026-06-26 08:26:00,20.45,47.0,0,in_store,PulseMart,purchase
T000224,M00046,2026-01-25 21:08:58,310.64,714.0,0,in_store,PulseMart,purchase
T000225,M00046,2025-07-15 20:15:53,136.52,314.0,0,app,PulseMart,purchase
T000226,M00046,2026-04-11 12:27:43,59.37,137.0,137,in_store,PulseMart,purchase
T000227,M00046,2025-10-20 19:49:10,47.94,110.0,0,app,PulseMart,purchase
T000228,M00046,2026-01-19 18:14:13,148.7,342.0,0,in_store,PulseMart,purchase
T000229,M00046,2026-02-23 10:25:48,48.3,111.0,0,online,PulseMart,purchase
T000230,M00047,2025-06-23 12:15:42,146.17,292.0,0,in_store,PulseHome,purchase
T000231,M00047,2023-07-17 08:27:42,92.17,184.0,0,online,PulseHome,purchase
T000232,M00047,2026-05-27 03:18:43,66.12,132.0,0,app,PulseHome,purchase
T000233,M00047,2025-07-18 16:33:22,60.27,121.0,0,in_store,PulseHome,purchase
T000234,M00047,2022-08-05 06:47:18,121.78,244.0,0,app,PulseHome,purchase
T000235,M00047,2025-03-15 12:31:36,40.54,71.0,0,online,PulseEats,purchase
T000236,M00048,2023-09-30 10:32:22,47.18,109.0,0,app,PulseMart,purchase
T000237,M00048,2024-05-25 22:15:47,72.47,167.0,0,app,PulseMart,purchase
T000238,M00048,2025-08-16 21:19:08,21.82,50.0,0,online,PulseMart,purchase
T000239,M00048,2023-03-11 12:48:22,143.47,330.0,0,app,PulseMart,purchase
T000240,M00048,2023-06-17 14:12:03,21.91,50.0,0,online,PulseMart,purchase
T000241,M00048,05/22/2024,125.42,288.0,200,online,PulseMart,purchase
T000242,M00049,2026-01-31 12:28:45,14.0,32.0,32,online,PulseMart,purchase
T000243,M00049,2026-01-25 19:09:17,91.98,212.0,0,online,PulseMart,purchase
T000244,M00049,2026-04-09 10:37:35,172.45,397.0,50,online,PulseMart,purchase
T000245,M00049,2026-05-19 00:29:05,173.41,399.0,0,app,PulseMart,purchase
T000246,M00049,2026-02-02 23:37:21,67.2,155.0,0,app,PulseMart,purchase
T000247,M00050,2025-08-30,39.35,69.0,0,in_store,PulseEats,purchase
T000248,M00050,2026-01-24 19:13:27,123.49,216.0,0,in_store,PulseEats,purchase
T000249,M00050,2025-10-27 02:48:24,139.53,244.0,0,app,PulseEats,purchase
T000250,M00051,2026-01-29 11:30:10,43.35,87.0,0,online,PulseHome,purchase
T000251,M00051,2026-04-26 12:08:14,102.89,206.0,0,app,PulseHome,purchase
T000252,M00051,2026-06-09 14:23:21,130.6,261.0,0,app,PulseHome,purchase
T000253,M00051,2026-01-14 08:42:08,33.48,67.0,0,online,PulseHome,purchase
T000254,M00052,2022-12-14 17:08:29,-56.65,113.0,0,in_store,PulseHome,purchase
T000255,M00052,2023-10-15 09:43:08,43.38,76.0,0,online,PulseEats,purchase
T000256,M00053,2024-05-08 07:52:52,39.62,79.0,0,online,PulseHome,purchase
T000257,M00053,2025-08-07 04:11:48,109.69,219.0,0,app,PulseHome,purchase
T000258,M00053,2026-04-14 04:46:17,58.89,,0,online,PulseHome,purchase
T000259,M00053,2026-03-20 01:28:18,122.35,245.0,0,online,PulseHome,purchase
T000260,M00053,2025-03-31 06:10:41,76.29,134.0,0,online,PulseEats,purchase
T000261,M00053,2026-04-13 06:47:09,17.96,36.0,0,app,PulseHome,purchase
T000262,M00054,2024-03-05 14:18:30,32.32,74.0,0,app,PulseMart,purchase
T000263,M00054,2025-05-11 18:11:28,81.31,187.0,0,in_store,PulseMart,purchase
T000264,M00054,2024-02-01 09:32:09,82.62,190.0,0,online,PulseMart,purchase
T000265,M00055,2024-01-04 11:51:38,29.71,59.0,0,online,PulseHome,purchase
T000266,M00055,2022-11-07 00:49:35,61.64,123.0,0,online,PulseHome,purchase
T000267,M00055,2023-05-17 20:32:29,106.88,214.0,0,app,PulseHome,purchase
T000268,M00056,2025-02-11 04:35:13,57.64,133.0,0,app,PulseMart,purchase
T000269,M00056,2025-03-17 07:58:38,62.91,126.0,0,app,PulseHome,purchase
T000270,M00056,2026-05-10 10:32:35,43.39,87.0,0,online,PulseHome,purchase
T000271,M00056,2026-04-22 08:01:26,55.95,112.0,0,in_store,PulseHome,purchase
T000272,M00056,2025-11-28 16:08:32,177.07,354.0,0,in_store,PulseHome,purchase
T000273,M00057,2025-05-29 07:25:58,37.48,86.0,0,online,PulseMart,purchase
T000274,M00057,2025-10-10 00:37:49,93.43,215.0,0,in_store,PulseMart,purchase
T000275,M00057,2024-10-28 15:57:53,31.39,72.0,0,online,PulseMart,purchase
T000276,M00057,2025-09-30 19:18:26,74.55,171.0,0,app,PulseMart,purchase
T000277,M00057,2025-05-27 09:16:03,74.75,131.0,0,online,PulseEats,purchase
T000278,M00057,2025-12-10 21:17:15,101.42,233.0,0,online,PulseMart,purchase
T000279,M00058,2025-01-31 11:37:10,67.27,135.0,0,app,PulseHome,purchase
T000280,M00058,2022-07-09 16:17:11,204.93,410.0,0,online,PulseHome,purchase
T000281,M00058,2025-03-16 09:44:55,50.34,101.0,0,in_store,PulseHome,purchase
T000282,M00058,2025-06-14 03:10:53,79.08,158.0,0,in_store,PulseHome,purchase
T000283,M00058,2025-04-30 05:15:57,49.46,99.0,0,app,PulseHome,purchase
T000284,M00058,2024-06-12 15:03:45,31.46,63.0,0,app,PulseHome,purchase
T000285,M00059,2026-01-30 08:22:55,55.59,97.0,0,app,PulseEats,purchase
T000286,M00059,2025-10-29 01:04:01,96.28,168.0,0,online,PulseEats,purchase
T000287,M00059,2025-12-28 07:04:10,46.66,82.0,0,in_store,PulseEats,purchase
T000288,M00059,2025-08-03 19:40:08,58.41,102.0,0,in_store,PulseEats,purchase
T000289,M00059,2025-08-06 21:28:38,69.95,122.0,0,app,PulseEats,purchase
T000290,M00059,2025-10-12 02:28:25,39.7,91.0,0,online,PulseMart,purchase
T000291,M00059,2026-03-25 18:54:57,54.05,95.0,0,online,PulseEats,purchase
T000292,M00060,2021-05-15 22:34:51,150.18,300.0,0,online,PulseHome,purchase
T000293,M00060,2021-10-27 09:54:11,111.66,223.0,0,online,PulseHome,purchase
T000294,M00060,2022-04-10 23:26:08,87.71,175.0,0,app,PulseHome,purchase
T000295,M00060,2022-08-02 07:08:33,57.19,114.0,0,online,PulseHome,purchase
T000296,M00061,2025-06-28 22:11:34,66.37,153.0,50,in_store,PulseMart,purchase
T000297,M00061,2024-11-03 00:11:35,79.72,183.0,0,in_store,PulseMart,purchase
T000298,M00061,2026-02-01 02:30:20,53.92,124.0,0,app,PulseMart,purchase
T000299,M00061,2026-03-01 20:29:48,64.27,148.0,0,online,PulseMart,purchase
T000300,M00061,2025-01-09 04:50:48,28.23,65.0,0,app,PulseMart,purchase
T000301,M00061,2026-04-27 05:02:46,41.16,95.0,0,app,PulseMart,purchase
T000302,M00062,2025-04-23 02:40:00,42.48,98.0,0,app,PulseMart,purchase
T000303,M00062,2024-12-05 16:37:57,23.47,54.0,0,in_store,PulseMart,purchase
T000304,M00063,2026-03-02 22:03:55,53.56,94.0,0,online,PulseEats,purchase
T000306,M00063,2026-02-28 18:37:35,12.64,25.0,0,in_store,PulseHome,purchase
T000307,M00064,2026-05-08 13:56:59,79.91,140.0,100,in_store,PulseEats,purchase
T000308,M00064,2026-02-18 05:05:33,49.01,86.0,0,app,PulseEats,purchase
T000309,M00064,2025-07-16 11:07:41,26.66,47.0,0,in_store,PulseEats,purchase
T000310,M00064,2025-09-03 14:17:05,27.98,49.0,0,online,PulseEats,purchase
T000311,M00064,2026-01-30 18:55:18,29.8,52.0,0,online,PulseEats,purchase
T000312,M00064,2025-08-25 12:22:40,45.96,80.0,0,online,PulseEats,purchase
T000313,M00065,2026-06-26 11:44:51,33.34,67.0,0,online,PulseHome,purchase
T000314,M00065,2026-03-14 07:41:32,49.33,99.0,0,in_store,PulseHome,purchase
T000315,M00065,2026-01-29 08:02:43,9.14,18.0,0,online,PulseHome,purchase
T000316,M00065,2026-02-24 11:27:52,100.86,202.0,100,online,PulseHome,purchase
T000317,M00065,2026-06-06 15:36:08,46.71,93.0,93,online,PulseHome,purchase
T000318,M00065,2026-02-20 07:33:05,42.33,97.0,0,app,PulseMart,purchase
T000319,M00065,2026-03-16 20:49:03,84.42,169.0,0,in_store,PulseHome,purchase
